player_id,course_name,round_id,round_date,hole_number,par,yards,stroke_index,score,score_vs_par
1,Gatton Mannor Golf Club,39,2023-07-28,16,4,372,14,6,2
1,Gatton Mannor Golf Club,39,2023-07-28,17,5,520,6,6,1
1,Gatton Mannor Golf Club,39,2023-07-28,18,4,328,10,6,2
1,Hoebridge Golf Club,41,2023-08-13,1,5,515,12,6,1
1,Hoebridge Golf Club,41,2023-08-13,2,3,141,18,4,1
1,Hoebridge Golf Club,41,2023-08-13,3,5,492,4,6,1
1,Hoebridge Golf Club,41,2023-08-13,4,4,445,14,7,3
1,Hoebridge Golf Club,41,2023-08-13,5,4,386,10,8,4
1,Hoebridge Golf Club,41,2023-08-13,6,3,174,16,4,1
1,Hoebridge Golf Club,41,2023-08-13,7,4,342,2,7,3
1,Hoebridge Golf Club,41,2023-08-13,8,4,361,8,6,2
1,Hoebridge Golf Club,41,2023-08-13,9,5,511,6,9,4
1,Hoebridge Golf Club,41,2023-08-13,10,4,337,13,5,1
1,Hoebridge Golf Club,41,2023-08-13,11,4,406,7,6,2
1,Hoebridge Golf Club,41,2023-08-13,12,3,166,17,5,2
1,Hoebridge Golf Club,41,2023-08-13,13,5,504,5,7,2
1,Hoebridge Golf Club,41,2023-08-13,14,4,326,9,4,0
1,Hoebridge Golf Club,41,2023-08-13,15,4,393,1,6,2
1,Hoebridge Golf Club,41,2023-08-13,16,3,188,11,5,2
1,Hoebridge Golf Club,41,2023-08-13,17,5,492,3,9,4
1,Hoebridge Golf Club,41,2023-08-13,18,3,164,15,5,2
1,The Oaks,40,2023-12-03,1,3,157,17,7,4
1,The Oaks,40,2023-12-03,2,4,358,1,8,4
1,The Oaks,40,2023-12-03,3,3,185,16,4,1
1,The Oaks,40,2023-12-03,4,5,401,11,7,2
1,The Oaks,40,2023-12-03,5,4,357,3,4,0
1,The Oaks,40,2023-12-03,6,4,307,13,6,2
1,The Oaks,40,2023-12-03,7,5,496,2,7,2
1,The Oaks,40,2023-12-03,8,5,375,9,5,0
1,The Oaks,40,2023-12-03,9,3,135,15,5,2
1,The Oaks,40,2023-12-03,10,4,305,14,5,1
1,The Oaks,40,2023-12-03,11,4,326,6,6,2
1,The Oaks,40,2023-12-03,12,3,182,12,4,1
1,The Oaks,40,2023-12-03,13,4,284,10,6,2
1,The Oaks,40,2023-12-03,14,5,485,4,5,0
1,The Oaks,40,2023-12-03,15,3,162,18,4,1
1,The Oaks,40,2023-12-03,16,4,362,7,6,2
1,The Oaks,40,2023-12-03,17,5,480,5,6,1
1,The Oaks,40,2023-12-03,18,4,311,8,7,3
1,Hurtmore Golf Club,42,2024-01-07,1,4,332,12,4,0
1,Hurtmore Golf Club,42,2024-01-07,2,3,175,8,4,1
1,Hurtmore Golf Club,42,2024-01-07,3,4,436,2,6,2
1,Hurtmore Golf Club,42,2024-01-07,4,4,228,18,6,2
1,Hurtmore Golf Club,42,2024-01-07,5,3,116,6,3,0
1,Hurtmore Golf Club,42,2024-01-07,6,4,346,4,5,1
1,Hurtmore Golf Club,42,2024-01-07,7,4,264,16,6,2
1,Hurtmore Golf Club,42,2024-01-07,8,4,252,14,4,0
1,Hurtmore Golf Club,42,2024-01-07,9,4,347,10,5,1
1,Hurtmore Golf Club,42,2024-01-07,10,4,318,11,6,2
1,Hurtmore Golf Club,42,2024-01-07,11,4,257,15,6,2
1,Hurtmore Golf Club,42,2024-01-07,12,4,359,1,5,1
1,Hurtmore Golf Club,42,2024-01-07,13,4,303,13,5,1
1,Hurtmore Golf Club,42,2024-01-07,14,4,294,3,7,3
1,Hurtmore Golf Club,42,2024-01-07,15,5,511,5,6,1
1,Hurtmore Golf Club,42,2024-01-07,16,3,125,7,4,1
1,Hurtmore Golf Club,42,2024-01-07,17,4,238,17,6,2
1,Hurtmore Golf Club,42,2024-01-07,18,4,325,9,7,3
1,Silvermere Golf Club,43,2024-01-28,1,5,465,4,6,1
1,Silvermere Golf Club,43,2024-01-28,2,3,176,18,4,1
1,Silvermere Golf Club,43,2024-01-28,3,4,407,8,7,3
1,Silvermere Golf Club,43,2024-01-28,4,4,334,10,8,4
1,Silvermere Golf Club,43,2024-01-28,5,4,368,6,5,1
